U+1F600,joy
U+1F603,joy
U+1F604,joy
U+1F601,joy
U+1F606,joy
U+1F605,joy
U+1F923,joy
U+1F602,joy
U+1F642,joy
U+1F643,joy
U+1F609,joy
U+1F60A,joy
U+1F607,joy
U+1F60D,love
U+1F929,joy
U+1F618,love
U+1F617,love
U+263A,joy
U+1F61A,joy
U+1F619,love
U+1F615,sadness
U+1F61F,sadness
U+1F641,sadness
U+2639,sadness
U+1F97A,sadness
U+1F625,sadness
U+1F622,sadness
U+1F62D,sadness
U+1F494,sadness
U+1F480,fear
U+2620,fear
U+1F616,fear
U+1F623,fear
U+1F633,fear
U+1F613,fear
U+1F631,fear
U+1F632,surprise
U+1F62E,surprise
U+1F64A,surprise
U+1F648,surprise
U+1F624,angry
U+1F621,angry
U+1F620,angry
U+1F92C,angry
U+1F47F,angry
U+1F44A,angry
U+1F611,angry
U+1F970,love
U+1F61A,love
U+1F972,joy
U+1F60B,joy
U+1F61B,joy
U+1F61C,joy
U+1F92A,joy
U+1F61D,joy
U+1F924,joy
U+1F60C,joy
U+1F973,joy
U+1F60E,joy
U+1F62F,surprise
U+1F626,surprise
U+1F627,surprise
U+1F628,fear
U+1F622,sadness
U+1F61E,sadness
U+1F921,joy
U+1F479,fear
U+1F63A,joy
U+1F638,joy
U+1F639,joy
U+1F63B,love
U+1F63D,love
U+1F640,surprise
U+1F63F,sadness
U+1F649,joy
U+1F48B,love
U+1F48C,love
U+1F498,love
U+1F49D,love
U+1F496,love
U+1F497,love
U+1F493,love
U+1F49E,love
U+1F495,love
U+1F49F,love
U+2763,love
U+1F494,sadness
U+2764,love
U+1F9E1,love
U+1F49B,love
U+1F49A,love
U+1F499,love
U+1F49C,love
U+1F90E,love
U+1F5A4,love
U+1F90D,love
U+1F4AF,joy
U+1F4AB,joy
U+270C,joy
U+1F91F,love



























